,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen
0,000858.XSHE,000858,五粮液,XSHE,2000-01-04,2.672,29.3,2.691,2.771,2.672,2.745,7316448,3612000000.0,1607.0,0.0058,0.0912068486,21092246.0,14448000000.0,1
1,000858.XSHE,000858,五粮液,XSHE,2000-01-05,2.745,30.1,2.764,2.882,2.752,2.771,15353102,3645600000.0,3414.0,0.0123,0.0912068486,45384980.0,14582400000.0,1
2,000858.XSHE,000858,五粮液,XSHE,2000-01-06,2.771,30.38,2.764,2.908,2.745,2.882,18241478,3792000000.0,3486.0,0.0146,0.0912068486,54743148.0,15168000000.0,1
3,000858.XSHE,000858,五粮液,XSHE,2000-01-07,2.882,31.6,2.908,3.019,2.906,2.983,41989623,3925200000.0,7653.0,0.0336,0.0912068486,131115248.0,15700800000.0,1
4,000858.XSHE,000858,五粮液,XSHE,2000-01-10,2.983,32.71,3.019,3.055,2.98,2.992,33801777,3937200000.0,5868.0,0.027,0.0912068486,107065544.0,15748800000.0,1
5,000858.XSHE,000858,五粮液,XSHE,2000-01-11,2.992,32.81,2.997,3.015,2.85,2.868,21322934,3772800000.0,3929.0,0.017,0.0912068486,65815296.0,15091200000.0,1
6,000858.XSHE,000858,五粮液,XSHE,2000-01-12,2.868,31.44,2.832,2.919,2.791,2.818,11675565,3708000000.0,2549.0,0.0093,0.0912068486,34769228.0,14832000000.0,1
7,000858.XSHE,000858,五粮液,XSHE,2000-01-13,2.818,30.9,2.809,2.827,2.78,2.782,8051917,3660000000.0,1410.0,0.0064,0.0912068486,23676294.0,14640000000.0,1
8,000858.XSHE,000858,五粮液,XSHE,2000-01-14,2.782,30.5,2.773,2.8,2.734,2.737,6679530,3601200000.0,1214.0,0.0053,0.0912068486,19402280.0,14404800000.0,1
9,000858.XSHE,000858,五粮液,XSHE,2000-01-17,2.737,30.01,2.735,2.796,2.701,2.796,4948140,3679200000.0,1053.0,0.004,0.0912068486,14298060.0,14716800000.0,1
10,000858.XSHE,000858,五粮液,XSHE,2000-01-18,2.796,30.66,2.809,2.868,2.769,2.841,5715074,3738000000.0,1241.0,0.0046,0.0912068486,16912662.0,14952000000.0,1
11,000858.XSHE,000858,五粮液,XSHE,2000-01-19,2.841,31.15,2.855,3.035,2.855,2.972,29602702,3909600000.0,6047.0,0.0237,0.0912068486,93126768.0,15638400000.0,1
12,000858.XSHE,000858,五粮液,XSHE,2000-01-20,2.972,32.58,2.97,3.019,2.928,2.972,14777633,3909600000.0,2645.0,0.0118,0.0912068486,46163732.0,15638400000.0,1
13,000858.XSHE,000858,五粮液,XSHE,2000-01-21,2.972,32.58,2.973,3.009,2.939,2.978,19870093,3918000000.0,3395.0,0.0159,0.0912068486,62306444.0,15672000000.0,1
14,000858.XSHE,000858,五粮液,XSHE,2000-01-24,2.978,32.65,2.996,3.133,2.987,3.064,32666081,4030800000.0,5736.0,0.0261,0.0912068486,105457816.0,16123200000.0,1
15,000858.XSHE,000858,五粮液,XSHE,2000-01-25,3.064,33.59,3.101,3.119,2.978,2.981,13800457,3921600000.0,3051.0,0.011,0.0912068486,43987388.0,15686400000.0,1
16,000858.XSHE,000858,五粮液,XSHE,2000-01-26,2.981,32.68,3.279,3.279,2.951,2.98,39612046,3920400000.0,7645.0,0.0317,0.0912068486,126037368.0,15681600000.0,1
17,000858.XSHE,000858,五粮液,XSHE,2000-01-27,2.98,32.67,2.982,2.999,2.875,2.914,47785901,3834000000.0,9834.0,0.0382,0.0912068486,145876880.0,15336000000.0,1
18,000858.XSHE,000858,五粮液,XSHE,2000-01-28,2.914,31.95,2.919,3.046,2.827,3.036,51905606,3994800000.0,10039.0,0.0415,0.0912068486,158081616.0,15979200000.0,1
19,000858.XSHE,000858,五粮液,XSHE,2000-02-14,3.036,33.29,3.083,3.338,3.083,3.304,61221850,4346400000.0,11993.0,0.0489,0.0912068486,206575920.0,17385600000.0,1
20,000858.XSHE,000858,五粮液,XSHE,2000-02-15,3.304,36.22,3.329,3.379,3.101,3.167,92116016,4166400000.0,15087.0,0.0736,0.0912068486,317132608.0,16665600000.0,1
21,000858.XSHE,000858,五粮液,XSHE,2000-02-16,3.167,34.72,3.147,3.165,3.019,3.032,46257475,3988800000.0,9519.0,0.037,0.0912068486,149497088.0,15955200000.0,1
22,000858.XSHE,000858,五粮液,XSHE,2000-02-17,3.032,33.24,3.046,3.238,2.919,2.928,44657488,3852000000.0,8555.0,0.0357,0.0912068486,142563552.0,15408000000.0,1
23,000858.XSHE,000858,五粮液,XSHE,2000-02-18,2.928,32.1,2.919,3.072,2.889,3.018,27767077,3970800000.0,5784.0,0.0222,0.0912068486,87509168.0,15883200000.0,1
24,000858.XSHE,000858,五粮液,XSHE,2000-02-21,3.018,33.09,3.028,3.147,2.946,3.054,27129336,4017600000.0,5645.0,0.0217,0.0912068486,86473232.0,16070400000.0,1
25,000858.XSHE,000858,五粮液,XSHE,2000-02-22,3.054,33.48,3.052,3.096,2.919,2.931,25212736,3856800000.0,5355.0,0.0202,0.0912068486,78951600.0,15427200000.0,1
26,000858.XSHE,000858,五粮液,XSHE,2000-02-23,2.931,32.14,2.919,2.919,2.803,2.824,23207716,3715200000.0,5439.0,0.0186,0.0912068486,69500256.0,14860800000.0,1
27,000858.XSHE,000858,五粮液,XSHE,2000-02-24,2.824,30.96,2.873,2.882,2.824,2.879,12403706,3788400000.0,2861.0,0.0099,0.0912068486,37164512.0,15153600000.0,1
28,000858.XSHE,000858,五粮液,XSHE,2000-02-28,2.879,31.57,2.864,3.168,2.773,3.082,69912645,4054800000.0,14355.0,0.0559,0.0912068486,216926320.0,16219200000.0,1
29,000858.XSHE,000858,五粮液,XSHE,2000-02-29,3.082,33.79,3.101,3.147,2.964,2.987,49625624,3930000000.0,9862.0,0.0397,0.0912068486,158038256.0,15720000000.0,1
30,000858.XSHE,000858,五粮液,XSHE,2000-03-01,2.987,32.75,2.992,3.074,2.891,2.912,24406435,3831600000.0,5347.0,0.0195,0.0912068486,76022352.0,15326400000.0,1
31,000858.XSHE,000858,五粮液,XSHE,2000-03-02,2.912,31.93,2.909,2.928,2.828,2.878,24968601,3787200000.0,5327.0,0.02,0.0912068486,75579552.0,15148800000.0,1
