,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-03,,988.05,988.05,988.05,988.05,100.0,10000.0,,
1,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-04,988.05,983.11,983.11,983.11,983.11,52300.0,761000.0,-4.94,-0.005
2,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-05,983.11,978.27,978.27,978.27,978.27,10700.0,150000.0,-4.84,-0.004923
3,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-08,978.27,968.57,968.57,968.57,968.57,5700.0,84000.0,-9.7,-0.009915
4,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-09,968.57,963.73,963.73,963.73,963.73,1900.0,39000.0,-4.84,-0.004997
5,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-10,963.73,958.88,958.88,958.88,958.88,4500.0,110000.0,-4.85,-0.005033
6,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-11,958.88,954.03,954.03,954.03,954.03,4500.0,59000.0,-4.85,-0.005058
7,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-12,954.03,949.31,949.31,949.31,949.31,6800.0,113000.0,-4.72,-0.004947
8,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-15,949.31,939.98,939.98,939.98,939.98,5000.0,64000.0,-9.33,-0.009828
9,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-16,939.98,935.38,935.38,935.38,935.38,2200.0,34000.0,-4.6,-0.004894
10,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-17,935.38,930.78,930.78,930.78,930.78,2100.0,30000.0,-4.6,-0.004918
11,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-18,930.78,926.18,926.18,926.18,926.18,1400.0,32000.0,-4.6,-0.004942
12,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-19,926.18,921.58,921.58,921.58,921.58,1700.0,27000.0,-4.6,-0.004967
13,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-23,921.58,907.78,907.78,907.78,907.78,4800.0,150000.0,-13.8,-0.014974
14,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-24,907.78,903.31,903.31,903.31,903.31,4600.0,109000.0,-4.47,-0.004924
