,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen
0,600519.XSHG,600519,贵州茅台,XSHG,2001-08-27,4.18,31.39,4.596,5.031,4.375,4.734,228666268,2541825000.0,70899.0,0.5683,0.133174479,1410347140,8887500000,1
1,600519.XSHG,600519,贵州茅台,XSHG,2001-08-28,4.734,35.55,4.66,4.927,4.609,4.909,72962744,2635490000.0,20521.0,0.1813,0.133174479,463463136,9215000000,1
2,600519.XSHG,600519,贵州茅台,XSHG,2001-08-29,4.909,36.86,4.925,4.927,4.808,4.845,29969402,2601170000.0,10042.0,0.0745,0.133174479,194689616,9095000000,1
3,600519.XSHG,600519,贵州茅台,XSHG,2001-08-30,4.845,36.38,4.832,4.995,4.794,4.941,27020627,2652650000.0,9046.0,0.0672,0.133174479,177558560,9275000000,1
4,600519.XSHG,600519,贵州茅台,XSHG,2001-08-31,4.941,37.1,4.947,5.01,4.901,4.929,13074134,2646215000.0,5292.0,0.0325,0.133174479,86231240,9252500000,1
5,600519.XSHG,600519,贵州茅台,XSHG,2001-09-03,4.929,37.01,4.954,5.003,4.907,4.926,12444167,2644785000.0,5089.0,0.0309,0.133174479,82129440,9247500000,1
6,600519.XSHG,600519,贵州茅台,XSHG,2001-09-04,4.926,36.99,4.929,5.071,4.911,4.989,20826545,2678390000.0,6926.0,0.0518,0.133174479,139204384,9365000000,1
7,600519.XSHG,600519,贵州茅台,XSHG,2001-09-05,4.989,37.46,5.009,5.05,4.955,4.986,14669870,2676960000.0,4611.0,0.0365,0.133174479,97796240,9360000000,1
8,600519.XSHG,600519,贵州茅台,XSHG,2001-09-06,4.986,37.44,4.974,4.99,4.862,4.888,16318850,2624050000.0,5533.0,0.0406,0.133174479,107078400,9175000000,1
9,600519.XSHG,600519,贵州茅台,XSHG,2001-09-07,4.888,36.7,4.861,4.921,4.748,4.752,17756868,2551120000.0,6866.0,0.0441,0.133174479,113868744,8920000000,1
10,600519.XSHG,600519,贵州茅台,XSHG,2001-09-10,4.752,35.68,4.714,4.907,4.662,4.888,10624598,2624050000.0,3494.0,0.0264,0.133174479,68406472,9175000000,1
11,600519.XSHG,600519,贵州茅台,XSHG,2001-09-11,4.888,36.7,4.901,4.921,4.821,4.833,6410481,2594735000.0,2467.0,0.0159,0.133174479,41579696,9072500000,1
12,600519.XSHG,600519,贵州茅台,XSHG,2001-09-12,4.833,36.29,4.705,4.821,4.701,4.792,14094847,2572570000.0,4467.0,0.035,0.133174479,89421376,8995000000,1
13,600519.XSHG,600519,贵州茅台,XSHG,2001-09-13,4.792,35.98,4.796,4.834,4.754,4.78,6183047,2566135000.0,1720.0,0.0154,0.133174479,39512776,8972500000,1
14,600519.XSHG,600519,贵州茅台,XSHG,2001-09-14,4.78,35.89,4.796,4.861,4.768,4.834,4318089,2595450000.0,1685.0,0.0107,0.133174479,27740692,9075000000,1
15,600519.XSHG,600519,贵州茅台,XSHG,2001-09-17,4.834,36.3,4.805,4.833,4.728,4.773,5055968,2562560000.0,1907.0,0.0126,0.133174479,32183248,8960000000,1
16,600519.XSHG,600519,贵州茅台,XSHG,2001-09-18,4.773,35.84,4.778,4.868,4.774,4.828,6062939,2591875000.0,1935.0,0.0151,0.133174479,39006064,9062500000,1
17,600519.XSHG,600519,贵州茅台,XSHG,2001-09-19,4.828,36.25,4.834,4.917,4.802,4.917,4868316,2639780000.0,1794.0,0.0121,0.133174479,31597368,9230000000,1
18,600519.XSHG,600519,贵州茅台,XSHG,2001-09-20,4.917,36.92,4.914,4.934,4.861,4.876,6288100,2617615000.0,2268.0,0.0156,0.133174479,41189576,9152500000,1
19,600519.XSHG,600519,贵州茅台,XSHG,2001-09-21,4.876,36.61,4.832,4.874,4.794,4.802,4434522,2578290000.0,1513.0,0.011,0.133174479,28638680,9015000000,1
20,600519.XSHG,600519,贵州茅台,XSHG,2001-09-24,4.802,36.06,4.802,4.846,4.794,4.801,2289713,2577575000.0,1061.0,0.0057,0.133174479,14703096,9012500000,1
21,600519.XSHG,600519,贵州茅台,XSHG,2001-09-25,4.801,36.05,4.832,4.866,4.801,4.825,1963218,2590445000.0,799.0,0.0049,0.133174479,12639790,9057500000,1
22,600519.XSHG,600519,贵州茅台,XSHG,2001-09-26,4.825,36.23,4.809,4.858,4.794,4.805,2789267,2579720000.0,1231.0,0.0069,0.133174479,17892564,9020000000,1
23,600519.XSHG,600519,贵州茅台,XSHG,2001-09-27,4.805,36.08,4.805,4.925,4.794,4.888,4940076,2624050000.0,1972.0,0.0123,0.133174479,32085132,9175000000,1
24,600519.XSHG,600519,贵州茅台,XSHG,2001-09-28,4.888,36.7,4.914,4.954,4.861,4.939,9616991,2651935000.0,3253.0,0.0239,0.133174479,63169144,9272500000,1
