secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
603127.XSHG,603127,昭衍新药,XSHG,2017-08-25,12.51,12.51,18.01,18.01,18.01,18.01,8846,159316,11,0.0004,0.3605623543,369205000,1473218000,0.4396,28.4997,60.4568,5.4218,1,18.01
603127.XSHG,603127,昭衍新药,XSHG,2017-08-28,18.01,18.01,19.81,19.81,19.81,19.81,3500,69335,4,0.0002,0.3605623543,406105000,1620458000,0.0999,31.348,66.4991,5.9637,1,19.81
603127.XSHG,603127,昭衍新药,XSHG,2017-08-29,19.81,19.81,21.79,21.79,21.79,21.79,4400,95876,5,0.0002,0.3605623543,446695000,1782422000,0.0999,34.4813,73.1457,6.5598,1,21.79
603127.XSHG,603127,昭衍新药,XSHG,2017-08-30,21.79,21.79,23.97,23.97,23.97,23.97,8146,195260,11,0.0004,0.3605623543,491385000,1960746000,0.1,37.931,80.4636,7.2161,1,23.97
603127.XSHG,603127,昭衍新药,XSHG,2017-08-31,23.97,23.97,26.37,26.37,26.37,26.37,15586,411003,24,0.0008,0.3605623543,540585000,2157066000,0.1001,41.7288,88.52,7.9386,1,26.37
603127.XSHG,603127,昭衍新药,XSHG,2017-09-01,26.37,26.37,29.01,29.01,29.01,29.01,13300,385833,21,0.0006,0.3605623543,594705000,2373018000,0.1001,45.9064,97.3821,8.7333,1,29.01
603127.XSHG,603127,昭衍新药,XSHG,2017-09-04,29.01,29.01,31.91,31.91,31.91,31.91,34097,1088035,50,0.0017,0.3605623543,654155000,2610238000,0.1,50.4955,107.117,9.6063,1,31.91
603127.XSHG,603127,昭衍新药,XSHG,2017-09-05,31.91,31.91,35.1,35.1,35.1,35.1,68105,2390486,115,0.0033,0.3605623543,719550000,2871180000,0.1,55.5435,117.8253,10.5667,1,35.1
603127.XSHG,603127,昭衍新药,XSHG,2017-09-06,35.1,35.1,38.61,38.61,38.61,38.61,40343,1557643,70,0.002,0.3605623543,791505000,3158298000,0.1,61.0978,129.6078,11.6234,1,38.61
603127.XSHG,603127,昭衍新药,XSHG,2017-09-07,38.61,38.61,42.47,42.47,42.47,42.47,99998,4246915,173,0.0049,0.3605623543,870635000,3474046000,0.1,67.206,142.5653,12.7854,1,42.47
603127.XSHG,603127,昭衍新药,XSHG,2017-09-08,42.47,42.47,46.72,46.72,46.72,46.72,156767,7324154,268,0.0076,0.3605623543,957760000,3821696000,0.1001,73.9314,156.8319,14.0648,1,46.72
603127.XSHG,603127,昭衍新药,XSHG,2017-09-11,46.72,46.72,51.39,51.39,51.39,51.39,75463,3878044,147,0.0037,0.3605623543,1053495000,4203702000,0.1,81.3213,172.5083,15.4707,1,51.39
603127.XSHG,603127,昭衍新药,XSHG,2017-09-12,51.39,51.39,56.53,56.53,56.53,56.53,96542,5457519,194,0.0047,0.3605623543,1158865000,4624154000,0.1,89.455,189.7625,17.0181,1,56.53
603127.XSHG,603127,昭衍新药,XSHG,2017-09-13,56.53,56.53,62.18,62.18,62.18,62.18,428088,26618512,787,0.0209,0.3605623543,1274690000,5086324000,0.0999,98.3958,208.7287,18.719,1,62.18
603127.XSHG,603127,昭衍新药,XSHG,2017-09-14,62.18,62.18,68.4,68.4,68.4,68.4,415522,28421705,762,0.0203,0.3605623543,1402200000,5595120000,0.1,108.2385,229.6083,20.5915,1,68.4
603127.XSHG,603127,昭衍新药,XSHG,2017-09-15,68.4,68.4,75.24,75.24,75.24,75.24,343918,25876390,678,0.0168,0.3605623543,1542420000,6154632000,0.1,119.0624,252.5691,22.6506,1,75.24
603127.XSHG,603127,昭衍新药,XSHG,2017-09-18,75.24,75.24,74.0,74.0,67.72,67.72,5389502,373672304,12921,0.2629,0.3605623543,1388260000,5539496000,-0.0999,107.1625,227.3256,20.3868,1,69.333
603127.XSHG,603127,昭衍新药,XSHG,2017-09-19,67.72,67.72,62.72,71.93,62.51,67.81,10333960,686435944,29974,0.5041,0.3605623543,1390105000,5546858000,0.0013,107.3049,227.6278,20.4139,1,66.425
603127.XSHG,603127,昭衍新药,XSHG,2017-09-20,67.81,67.81,65.88,67.59,64.0,65.62,6656504,437727787,16948,0.3247,0.3605623543,1345210000,5367716000,-0.0323,103.8394,220.2763,19.7546,1,65.759
603127.XSHG,603127,昭衍新药,XSHG,2017-09-21,65.62,65.62,65.72,67.72,63.52,64.06,5821943,382478363,15246,0.284,0.3605623543,1313230000,5240108000,-0.0238,101.3708,215.0396,19.2849,1,65.696
603127.XSHG,603127,昭衍新药,XSHG,2017-09-22,64.06,64.06,63.05,63.84,60.86,62.26,4616376,287285006,11160,0.2252,0.3605623543,1276330000,5092868000,-0.0281,98.5224,208.9973,18.7431,1,62.232
603127.XSHG,603127,昭衍新药,XSHG,2017-09-25,62.26,62.26,62.55,64.6,61.68,63.6,4282802,271027458,10748,0.2089,0.3605623543,1303800000,5202480000,0.0215,100.6429,213.4954,19.1465,1,63.283
603127.XSHG,603127,昭衍新药,XSHG,2017-09-26,63.6,63.6,63.95,65.19,57.24,59.13,5616052,335654896,14974,0.274,0.3605623543,1212165000,4836834000,-0.0703,93.5694,198.4903,17.8008,1,59.767
603127.XSHG,603127,昭衍新药,XSHG,2017-09-27,59.13,59.13,57.7,58.58,57.22,58.11,2818872,163129816,7311,0.1375,0.3605623543,1191255000,4753398000,-0.0173,91.9553,195.0664,17.4937,1,57.871
603127.XSHG,603127,昭衍新药,XSHG,2017-09-28,58.11,58.11,57.9,58.89,57.51,57.7,1689166,98236845,4706,0.0824,0.3605623543,1182850000,4719860000,-0.0071,91.3065,193.69,17.3703,1,58.157
603127.XSHG,603127,昭衍新药,XSHG,2017-09-29,57.7,57.7,57.63,60.82,57.63,59.0,2288710,134861378,6298,0.1116,0.3605623543,1209500000,4826200000,0.0225,93.3637,198.0539,17.7617,1,58.925
603127.XSHG,603127,昭衍新药,XSHG,2017-10-09,59.0,59.0,59.12,59.75,57.37,57.68,1750429,101500483,4974,0.0854,0.3605623543,1182440000,4718224000,-0.0224,91.2748,193.6229,17.3643,1,57.986
603127.XSHG,603127,昭衍新药,XSHG,2017-10-10,57.68,57.68,58.2,62.0,57.98,61.54,3512596,212502831,9524,0.1713,0.3605623543,1261570000,5033972000,0.0669,97.383,206.5803,18.5263,1,60.497
603127.XSHG,603127,昭衍新药,XSHG,2017-10-11,61.54,61.54,62.0,64.75,58.9,59.14,3627354,224311817,10120,0.1769,0.3605623543,1212370000,4837652000,-0.039,93.5852,198.5239,17.8038,1,61.839
603127.XSHG,603127,昭衍新药,XSHG,2017-10-12,59.14,59.14,57.77,57.95,55.56,56.19,2768691,156229573,6954,0.1351,0.3605623543,1151895000,4596342000,-0.0499,88.917,188.6212,16.9157,1,56.427
603127.XSHG,603127,昭衍新药,XSHG,2017-10-13,56.19,56.19,56.25,57.68,55.95,56.75,1423203,81019363,3679,0.0694,0.3605623543,1163375000,4642150000,0.01,89.8032,190.501,17.0843,1,56.927
603127.XSHG,603127,昭衍新药,XSHG,2017-10-16,56.75,56.75,56.5,58.17,56.37,56.59,1560637,89340457,3887,0.0761,0.3605623543,1160095000,4629062000,-0.0028,89.55,189.9639,17.0361,1,57.246
603127.XSHG,603127,昭衍新药,XSHG,2017-10-17,56.59,56.59,56.2,57.2,55.55,56.81,945937,53333440,2584,0.0461,0.3605623543,1164605000,4647058000,0.0039,89.8981,190.7025,17.1024,1,56.382
603127.XSHG,603127,昭衍新药,XSHG,2017-10-18,56.81,56.81,57.08,59.9,56.81,58.05,2248293,131484819,6267,0.1097,0.3605623543,1190025000,4748490000,0.0218,91.8603,194.8649,17.4757,1,58.482
603127.XSHG,603127,昭衍新药,XSHG,2017-10-19,58.05,58.05,57.57,58.84,56.6,58.64,1795373,104142477,4482,0.0876,0.3605623543,1202120000,4796752000,0.0102,92.794,196.8455,17.6533,1,58.006
603127.XSHG,603127,昭衍新药,XSHG,2017-10-20,58.64,58.64,58.0,58.78,56.9,57.65,1271999,73308584,3455,0.062,0.3605623543,1181825000,4715770000,-0.0169,91.2274,193.5222,17.3552,1,57.633
603127.XSHG,603127,昭衍新药,XSHG,2017-10-23,57.65,57.65,57.8,59.63,57.57,59.56,1796141,105786186,4606,0.0876,0.3605623543,1220980000,4872008000,0.0331,65.4966,105.425,9.4453,1,58.896
603127.XSHG,603127,昭衍新药,XSHG,2017-10-24,59.56,59.56,59.58,61.68,58.67,60.48,2145641,129588018,5626,0.1047,0.3605623543,1239840000,4947264000,0.0154,66.5083,107.0535,9.5912,1,60.396
603127.XSHG,603127,昭衍新药,XSHG,2017-10-25,60.48,60.48,60.4,60.86,58.54,60.71,2048518,122449790,4616,0.0999,0.3605623543,1244555000,4966078000,0.0038,66.7612,107.4606,9.6277,1,59.775
603127.XSHG,603127,昭衍新药,XSHG,2017-10-26,60.71,60.71,60.6,62.3,60.21,61.61,1872635,115490636,5075,0.0913,0.3605623543,1263005000,5039698000,0.0148,67.7509,109.0537,9.7704,1,61.673
603127.XSHG,603127,昭衍新药,XSHG,2017-10-27,61.61,61.61,60.66,64.99,60.66,63.88,2709018,170778398,7176,0.1321,0.3605623543,1309540000,5225384000,0.0368,70.2472,113.0717,10.1304,1,63.041
603127.XSHG,603127,昭衍新药,XSHG,2017-10-30,63.88,63.88,63.1,69.98,63.09,67.12,4890350,326593369,12626,0.2386,0.3605623543,1375960000,5490416000,0.0507,73.8101,118.8067,10.6442,1,66.783
603127.XSHG,603127,昭衍新药,XSHG,2017-10-31,67.12,67.12,67.14,69.66,65.01,68.86,4184228,283199755,11428,0.2041,0.3605623543,1411630000,5632748000,0.0259,75.7235,121.8866,10.9201,1,67.683
603127.XSHG,603127,昭衍新药,XSHG,2017-11-01,68.86,68.86,67.98,73.66,67.14,72.44,4304150,301577680,11509,0.21,0.3605623543,1485020000,5925592000,0.052,79.6604,128.2235,11.4879,1,70.067
603127.XSHG,603127,昭衍新药,XSHG,2017-11-02,72.44,72.44,71.98,79.54,71.51,73.02,6738140,505967211,17771,0.3287,0.3605623543,1496910000,5973036000,0.008,80.2982,129.2501,11.5798,1,75.09
603127.XSHG,603127,昭衍新药,XSHG,2017-11-03,73.02,73.02,73.24,74.45,68.02,69.48,5279087,373460420,13418,0.2575,0.3605623543,1424340000,5683464000,-0.0485,76.4053,122.9841,11.0184,1,70.743
603127.XSHG,603127,昭衍新药,XSHG,2017-11-06,69.48,69.48,69.47,71.0,68.18,69.23,4778010,331578132,9537,0.2331,0.3605623543,1419215000,5663014000,-0.0036,76.1304,122.5415,10.9788,1,69.397
603127.XSHG,603127,昭衍新药,XSHG,2017-11-07,69.23,69.23,68.96,71.98,67.25,71.37,4527556,314206178,10735,0.2209,0.3605623543,1463085000,5838066000,0.0309,78.4837,126.3295,11.3182,1,69.399
603127.XSHG,603127,昭衍新药,XSHG,2017-11-08,71.37,71.37,71.31,73.35,69.8,70.05,4017640,286795451,9534,0.196,0.3605623543,1436025000,5730090000,-0.0185,77.0322,123.993,11.1088,1,71.384
603127.XSHG,603127,昭衍新药,XSHG,2017-11-09,70.05,70.05,69.24,69.25,66.0,66.41,3893928,262824386,8907,0.1899,0.3605623543,1361405000,5432338000,-0.052,73.0293,117.55,10.5316,1,67.496
603127.XSHG,603127,昭衍新药,XSHG,2017-11-10,66.41,66.41,66.53,67.97,66.13,66.97,2464727,165117905,5693,0.1202,0.3605623543,1372885000,5478146000,0.0084,73.6452,118.5412,10.6204,1,66.992
603127.XSHG,603127,昭衍新药,XSHG,2017-11-13,66.97,66.97,67.96,70.84,66.98,70.69,3033050,208948795,7474,0.148,0.3605623543,1449145000,5782442000,0.0555,77.736,125.1258,11.2103,1,68.891
603127.XSHG,603127,昭衍新药,XSHG,2017-11-14,70.69,70.69,70.82,73.95,70.68,71.31,3783445,272845870,9962,0.1846,0.3605623543,1461855000,5833158000,0.0088,78.4178,126.2233,11.3087,1,72.116
603127.XSHG,603127,昭衍新药,XSHG,2017-11-15,71.31,71.31,70.5,70.7,68.0,68.99,2321428,160125818,5990,0.1132,0.3605623543,1414295000,5643382000,-0.0325,75.8665,122.1167,10.9407,1,68.977
603127.XSHG,603127,昭衍新药,XSHG,2017-11-16,68.99,68.99,69.05,71.94,65.0,65.37,3757578,258756774,8293,0.1833,0.3605623543,1340085000,5347266000,-0.0525,71.8857,115.7091,10.3667,1,68.863
603127.XSHG,603127,昭衍新药,XSHG,2017-11-17,65.37,65.37,64.6,64.88,58.83,59.75,3589215,218794415,8081,0.1751,0.3605623543,1224875000,4887550000,-0.086,65.7055,105.7613,9.4754,1,60.959
603127.XSHG,603127,昭衍新药,XSHG,2017-11-20,59.75,59.75,58.5,60.0,56.5,59.57,2381230,138837665,4320,0.1162,0.3605623543,1221185000,4872826000,-0.003,65.5076,105.4427,9.4469,1,58.305
603127.XSHG,603127,昭衍新药,XSHG,2017-11-21,59.57,59.57,59.0,60.5,57.2,58.71,1814854,107226543,4022,0.0885,0.3605623543,1203555000,4802478000,-0.0144,64.5619,103.9205,9.3105,1,59.083
603127.XSHG,603127,昭衍新药,XSHG,2017-11-22,58.71,58.71,58.04,59.88,56.88,58.62,1276332,74442527,3153,0.0623,0.3605623543,1201710000,4795116000,-0.0015,64.4629,103.7612,9.2962,1,58.325
603127.XSHG,603127,昭衍新药,XSHG,2017-11-23,58.62,58.62,58.1,60.08,57.6,57.71,1239421,72926726,3147,0.0605,0.3605623543,1183055000,4720678000,-0.0155,63.4622,102.1504,9.1519,1,58.839
603127.XSHG,603127,昭衍新药,XSHG,2017-11-24,57.71,57.71,57.08,58.19,54.61,54.66,1207358,68217208,3163,0.0589,0.3605623543,1120530000,4471188000,-0.0529,60.1082,96.7517,8.6682,1,56.501
603127.XSHG,603127,昭衍新药,XSHG,2017-11-27,54.66,54.66,55.0,55.3,52.25,52.33,1423936,75780428,2774,0.0695,0.3605623543,1072765000,4280594000,-0.0426,57.5459,92.6275,8.2987,1,53.219
603127.XSHG,603127,昭衍新药,XSHG,2017-11-28,52.33,52.33,52.5,54.66,52.47,54.26,840020,45089991,2173,0.041,0.3605623543,1112330000,4438468000,0.0369,59.6683,96.0437,8.6048,1,53.677
603127.XSHG,603127,昭衍新药,XSHG,2017-11-29,54.26,54.26,54.66,55.0,52.25,54.86,934458,49976307,2669,0.0456,0.3605623543,1124630000,4487548000,0.0111,60.3281,97.1057,8.6999,1,53.482
603127.XSHG,603127,昭衍新药,XSHG,2017-11-30,54.86,54.86,54.49,56.26,53.86,55.61,962383,53509718,2478,0.0469,0.3605623543,1140005000,4548898000,0.0137,61.1529,98.4333,8.8189,1,55.601
603127.XSHG,603127,昭衍新药,XSHG,2017-12-01,55.61,55.61,55.28,58.69,55.23,57.96,1025685,59058482,2966,0.05,0.3605623543,1188180000,4741128000,0.0423,63.7371,102.5929,9.1916,1,57.58
603127.XSHG,603127,昭衍新药,XSHG,2017-12-04,57.96,57.96,57.02,58.88,53.5,55.13,1006019,56257348,2964,0.0491,0.3605623543,1130165000,4509634000,-0.0488,60.625,97.5836,8.7428,1,55.921
603127.XSHG,603127,昭衍新药,XSHG,2017-12-05,55.13,55.13,54.89,55.44,50.05,51.18,1130621,59758405,2790,0.0552,0.3605623543,1049190000,4186524000,-0.0716,56.2813,90.5919,8.1164,1,52.854
603127.XSHG,603127,昭衍新药,XSHG,2017-12-06,51.18,51.18,52.49,52.66,49.72,52.52,1174992,60227199,2903,0.0573,0.3605623543,1076660000,4296136000,0.0262,57.7549,92.9638,8.3289,1,51.258
603127.XSHG,603127,昭衍新药,XSHG,2017-12-07,52.52,52.52,52.0,53.29,51.31,52.25,498244,26055924,1435,0.0243,0.3605623543,1071125000,4274050000,-0.0051,57.458,92.4859,8.286,1,52.296
603127.XSHG,603127,昭衍新药,XSHG,2017-12-08,52.25,52.25,51.52,56.49,51.52,54.79,1112841,60843914,3146,0.0543,0.3605623543,1123195000,4481822000,0.0486,60.2511,96.9818,8.6888,1,54.674
603127.XSHG,603127,昭衍新药,XSHG,2017-12-11,54.79,54.79,54.83,56.03,54.36,55.86,823614,45524724,2108,0.0402,0.3605623543,1145130000,4569348000,0.0195,61.4278,98.8758,8.8585,1,55.274
603127.XSHG,603127,昭衍新药,XSHG,2017-12-12,55.86,55.86,56.0,56.0,52.9,53.18,747843,40891015,2006,0.0365,0.3605623543,1090190000,4350124000,-0.048,58.4807,94.132,8.4335,1,54.679
603127.XSHG,603127,昭衍新药,XSHG,2017-12-13,53.18,53.18,52.79,55.37,52.79,54.99,635793,34507235,1811,0.031,0.3605623543,1127295000,4498182000,0.034,60.4711,97.3358,8.7206,1,54.274
603127.XSHG,603127,昭衍新药,XSHG,2017-12-14,54.99,54.99,54.52,55.66,53.62,54.77,652961,35478064,1901,0.0319,0.3605623543,1122785000,4480186000,-0.004,60.2291,96.9464,8.6857,1,54.334
603127.XSHG,603127,昭衍新药,XSHG,2017-12-15,54.77,54.77,54.84,55.0,51.8,52.22,1169333,61995652,2783,0.057,0.3605623543,1070510000,4271596000,-0.0466,57.425,92.4328,8.2813,1,53.018
603127.XSHG,603127,昭衍新药,XSHG,2017-12-18,52.22,52.22,51.66,51.99,50.12,51.0,1069079,54466564,2551,0.0522,0.3605623543,1045500000,4171800000,-0.0234,56.0834,90.2733,8.0878,1,50.947
603127.XSHG,603127,昭衍新药,XSHG,2017-12-19,51.0,51.0,51.17,52.2,51.0,51.83,485504,25136468,1376,0.0237,0.3605623543,1062515000,4239694000,0.0163,56.9961,91.7424,8.2194,1,51.774
603127.XSHG,603127,昭衍新药,XSHG,2017-12-20,51.83,51.83,52.9,52.9,49.16,49.95,1414208,71167106,3245,0.069,0.3605623543,1023975000,4085910000,-0.0363,54.9287,88.4147,7.9213,1,50.323
603127.XSHG,603127,昭衍新药,XSHG,2017-12-21,49.95,49.95,49.47,51.15,48.8,50.07,834100,41628992,2249,0.0407,0.3605623543,1026435000,4095726000,0.0024,55.0607,88.6271,7.9403,1,49.909
603127.XSHG,603127,昭衍新药,XSHG,2017-12-22,50.07,50.07,50.53,53.2,50.15,52.61,1443004,75558560,3798,0.0704,0.3605623543,1078505000,4303498000,0.0507,57.8538,93.1231,8.3431,1,52.362
603127.XSHG,603127,昭衍新药,XSHG,2017-12-25,52.61,52.61,52.09,55.5,52.09,54.87,1802582,97741514,5143,0.0879,0.3605623543,1124835000,4488366000,0.043,60.3391,97.1234,8.7015,1,54.223
603127.XSHG,603127,昭衍新药,XSHG,2017-12-26,54.87,54.87,54.42,56.6,53.91,55.65,1735859,96557670,4704,0.0847,0.3605623543,1140825000,4552170000,0.0142,61.1969,98.5041,8.8252,1,55.625
603127.XSHG,603127,昭衍新药,XSHG,2017-12-27,55.65,55.65,55.23,55.99,54.03,54.15,1173247,64508399,3140,0.0572,0.3605623543,1110075000,4429470000,-0.027,59.5473,95.849,8.5873,1,54.983
603127.XSHG,603127,昭衍新药,XSHG,2017-12-28,54.15,54.15,54.19,55.9,53.85,54.02,1172365,64319741,2834,0.0572,0.3605623543,1107410000,4418836000,-0.0024,59.4044,95.6189,8.5667,1,54.863
