secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,Unnamed: 0
603517.XSHG,603517,绝味食品,XSHG,2017-03-17,16.09,16.09,19.31,23.17,19.31,23.17,19706.0,456202.0,28.0,0.0004,0.6860989331999999,1158500000.0,9499700000.0,0.44,24.9793,24.9793,6.9965,1.0,23.15,
603517.XSHG,603517,绝味食品,XSHG,2017-03-20,23.17,23.17,25.49,25.49,25.49,25.49,5800.0,147842.0,8.0,0.0001,0.6860989331999999,1274500000.0,10450900000.0,0.1001,27.4804,27.4804,7.6971,1.0,25.49,
603517.XSHG,603517,绝味食品,XSHG,2017-03-21,25.49,25.49,28.04,28.04,28.04,28.04,7493.0,210104.0,14.0,0.0001,0.6860989331999999,1402000000.0,11496400000.0,0.1,30.2296,30.2296,8.4671,1.0,28.04,
603517.XSHG,603517,绝味食品,XSHG,2017-03-22,28.04,28.04,30.84,30.84,30.84,30.84,13600.0,419424.0,19.0,0.0003,0.6860989331999999,1542000000.0,12644400000.0,0.0999,33.2482,33.2482,9.3126,1.0,30.84,
603517.XSHG,603517,绝味食品,XSHG,2017-03-23,30.84,30.84,33.92,33.92,33.92,33.92,33031.0,1120412.0,55.0,0.0007,0.6860989331999999,1696000000.0,13907200000.0,0.0999,36.5687,36.5687,10.2426,1.0,33.92,
603517.XSHG,603517,绝味食品,XSHG,2017-03-24,33.92,33.92,37.31,37.31,37.31,37.31,51030.0,1903929.0,80.0,0.001,0.6860989331999999,1865500000.0,15297100000.0,0.0999,40.2234,40.2234,11.2663,1.0,37.31,
603517.XSHG,603517,绝味食品,XSHG,2017-03-27,37.31,37.31,41.04,41.04,41.04,41.04,40300.0,1653912.0,79.0,0.0008,0.6860989331999999,2052000000.0,16826400000.0,0.1,44.2447,44.2447,12.3926,1.0,41.04,
603517.XSHG,603517,绝味食品,XSHG,2017-03-28,41.04,41.04,45.14,45.14,45.14,45.14,110205.0,4974654.0,208.0,0.0022,0.6860989331999999,2257000000.0,18507400000.0,0.0999,48.6648,48.6648,13.6307,1.0,45.14,
603517.XSHG,603517,绝味食品,XSHG,2017-03-29,45.14,45.14,49.65,49.65,49.65,49.65,310983.0,15440306.0,547.0,0.0062,0.6860989331999999,2482500000.0,20356500000.0,0.0999,53.527,53.527,14.9925,1.0,49.65,
603517.XSHG,603517,绝味食品,XSHG,2017-03-30,49.65,49.65,54.62,54.62,54.62,54.62,2399597.0,131065988.0,3568.0,0.048,0.6860989331999999,2731000000.0,22394200000.0,0.1001,58.8851,58.8851,16.4933,1.0,54.62,
603517.XSHG,603517,绝味食品,XSHG,2017-03-31,54.62,54.62,54.62,59.0,50.52,50.56,28368946.0,1532726104.0,73645.0,0.5674,0.6860989331999999,2528000000.0,20729600000.0,-0.0743,54.5081,54.5081,15.2673,1.0,54.028,
603517.XSHG,603517,绝味食品,XSHG,2017-04-05,50.56,50.56,46.33,47.45,45.5,45.5,18168168.0,837059695.0,45482.0,0.3634,0.6860989331999999,2275000000.0,18655000000.0,-0.1001,49.053,49.053,13.7394,1.0,46.073,
603517.XSHG,603517,绝味食品,XSHG,2017-04-06,45.5,45.5,45.01,48.77,44.58,47.22,16262751.0,762082468.0,41949.0,0.3253,0.6860989331999999,2361000000.0,19360200000.0,0.0378,50.9073,50.9073,14.2588,1.0,46.861,
603517.XSHG,603517,绝味食品,XSHG,2017-04-07,47.22,47.22,46.4,46.95,45.55,45.78,9085587.0,419022503.0,23552.0,0.1817,0.6860989331999999,2289000000.0,18769800000.0,-0.0305,49.3548,49.3548,13.8239,1.0,46.119,
603517.XSHG,603517,绝味食品,XSHG,2017-04-10,45.78,45.78,45.0,45.2,41.2,41.2,12190695.0,518872209.0,30307.0,0.2438,0.6860989331999999,2060000000.0,16892000000.0,-0.1,44.4172,44.4172,12.4409,1.0,42.563,
603517.XSHG,603517,绝味食品,XSHG,2017-04-11,41.2,41.2,40.19,42.5,39.28,42.37,9866953.0,406415115.0,24834.0,0.1973,0.6860989331999999,2118500000.0,17371700000.0,0.0284,45.6785,45.6785,12.7942,1.0,41.19,
603517.XSHG,603517,绝味食品,XSHG,2017-04-12,42.37,42.37,41.5,42.11,40.69,40.87,5488611.0,227380874.0,12935.0,0.1098,0.6860989331999999,2043500000.0,16756700000.0,-0.0354,44.0614,44.0614,12.3413,1.0,41.428,
603517.XSHG,603517,绝味食品,XSHG,2017-04-13,40.87,40.87,40.4,41.95,40.4,40.88,3964971.0,163363853.0,10014.0,0.0793,0.6860989331999999,2044000000.0,16760800000.0,0.0002,44.0722,44.0722,12.3443,1.0,41.202,
603517.XSHG,603517,绝味食品,XSHG,2017-04-14,40.88,40.88,40.67,40.93,39.78,39.9,3627469.0,145730714.0,8681.0,0.0725,0.6860989331999999,1995000000.0,16359000000.0,-0.024,43.0157,43.0157,12.0484,1.0,40.174,
603517.XSHG,603517,绝味食品,XSHG,2017-04-17,39.9,39.9,37.8,38.45,36.6,37.62,5297598.0,199326141.0,13273.0,0.106,0.6860989331999999,1881000000.0,15424200000.0,-0.0571,40.5576,40.5576,11.3599,1.0,37.626,
603517.XSHG,603517,绝味食品,XSHG,2017-04-18,37.62,37.62,37.88,39.35,37.83,38.36,4238572.0,162791722.0,9917.0,0.0848,0.6860989331999999,1918000000.0,15727600000.0,0.0197,41.3554,41.3554,11.5834,1.0,38.407,
603517.XSHG,603517,绝味食品,XSHG,2017-04-19,38.36,38.36,38.2,40.65,37.96,40.55,6289231.0,249901729.0,14759.0,0.1258,0.6860989331999999,2027500000.0,16625500000.0,0.0571,40.3851,36.2354,7.1531,1.0,39.735,
603517.XSHG,603517,绝味食品,XSHG,2017-04-20,40.55,40.55,40.1,41.44,39.56,41.16,6098760.0,247194458.0,13555.0,0.122,0.6860989331999999,2058000000.0,16875600000.0,0.015,40.9926,36.7805,7.2608,1.0,40.532,
603517.XSHG,603517,绝味食品,XSHG,2017-04-21,41.16,41.16,41.4,41.99,40.36,40.57,3363812.0,137870590.0,8559.0,0.0673,0.6860989331999999,2028500000.0,16633700000.0,-0.0143,40.405,36.2533,7.1567,1.0,40.986,
