code,code_name
sh.600056,中国医药
sh.600058,五矿发展
sh.600061,国投资本
sh.600072,中船科技
sh.600076,康欣新材
sh.600079,人福医药
sh.600083,博信股份
sh.600085,同仁堂
sh.600095,湘财股份
sh.600104,上汽集团
sh.600109,国金证券
sh.600119,长江投资
sh.600157,永泰能源
sh.600166,福田汽车
sh.600169,太原重工
sh.600170,上海建工
sh.600172,黄河旋风
sh.600179,安通控股
sh.600180,瑞茂通
sh.600185,格力地产
sh.600187,国中水务
sh.600190,锦州港
sh.600195,中牧股份
sh.600196,复星医药
sh.600208,新湖中宝
sh.600220,江苏阳光
sh.600221,海航控股
sh.600225,卓朗科技
sh.600226,瀚叶股份
sh.600227,赤天化
sh.600231,凌钢股份
sh.600234,科新发展
sh.600239,云南城投
sh.600249,两面针
sh.600258,首旅酒店
sh.600271,航天信息
sh.600277,亿利洁能
sh.600280,中央商场
sh.600297,广汇汽车
sh.600298,安琪酵母
sh.600305,恒顺醋业
sh.600307,酒钢宏兴
sh.600313,农发种业
sh.600318,新力金融
sh.600321,正源股份
sh.600322,津投城开
sh.600335,国机汽车
sh.600354,敦煌种业
sh.600358,国旅联合
sh.600360,华微电子
sh.600370,三房巷
sh.600381,青海春天
sh.600390,五矿资本
sh.600397,安源煤业
sh.600400,红豆股份
sh.600403,大有能源
sh.600406,国电南瑞
sh.600410,华胜天成
sh.600419,天润乳业
sh.600421,华嵘控股
sh.600438,通威股份
sh.600449,宁夏建材
sh.600467,好当家
sh.600477,杭萧钢构
sh.600481,双良节能
sh.600491,龙元建设
sh.600496,精工钢构
sh.600499,科达制造
sh.600507,方大特钢
sh.600510,黑牡丹
sh.600515,海南机场
sh.600519,贵州茅台
sh.600535,天士力
sh.600537,亿晶光电
sh.600556,天下秀
sh.600563,法拉电子
sh.600569,安阳钢铁
sh.600570,恒生电子
sh.600576,祥源文旅
sh.600581,八一钢铁
sh.600594,益佰制药
sh.600597,光明乳业
sh.600603,广汇物流
sh.600604,市北高新
sh.600622,光大嘉宝
sh.600624,复旦复华
sh.600628,新世界
sh.600636,国新文化
sh.600637,东方明珠
sh.600643,爱建集团
sh.600648,外高桥
sh.600655,豫园股份
sh.600668,尖峰集团
sh.600675,中华企业
sh.600689,上海三毛
sh.600691,阳煤化工
sh.600693,东百集团
sh.600696,岩石股份
sh.600702,舍得酒业
sh.600705,中航产融
sh.600706,曲江文旅
sh.600728,佳都科技
sh.600729,重庆百货
sh.600732,爱旭股份
sh.600739,辽宁成大
sh.600740,山西焦化
sh.600741,华域汽车
sh.600745,闻泰科技
sh.600748,上实发展
sh.600770,综艺股份
sh.600771,广誉远
sh.600777,新潮能源
sh.600779,水井坊
sh.600798,宁波海运
sh.600808,马钢股份
sh.600815,厦工股份
sh.600822,上海物贸
sh.600824,益民集
sh.600827,百联股份
sh.600831,广电网络
sh.600836,上海易连
sh.600837,海通证券
sh.600838,上海九百
sh.600846,同济科技
sh.600859,王府井
sh.600864,哈投股份
sh.600867,通化东宝
sh.600871,石化油服
sh.600881,亚泰集团
sh.600906,财达证券
sh.600909,华安证券
sh.600918,中泰证券
sh.600927,永安期货
sh.600933,爱柯迪
sh.600935,华塑股份
sh.600936,广西广电
sh.600939,重庆建工
sh.600958,东方证券
sh.600959,江苏有线
sh.600977,中国电影
sh.600981,汇鸿集团
sh.601005,重庆钢铁
sh.601006,大秦铁路
sh.601010,文峰股份
sh.601011,宝泰隆
sh.601012,隆基绿能
sh.601015,陕西黑猫
sh.601059,信达证券
sh.601066,中信建投
sh.601096,宏盛华源
sh.601100,恒立液压
sh.601106,中国一重
sh.601108,财通证券
sh.601111,中国国航
sh.601158,重庆水务
sh.601162,天风证券
sh.601208,东材科技
sh.601211,国泰君安
sh.601226,华电重工
sh.601236,红塔证券
sh.601238,广汽集团
sh.601375,中原证券
sh.601377,兴业证券
sh.601519,大智慧
sh.601555,东吴证券
sh.601568,北元集团
sh.601588,北辰实业
sh.601686,友发集团
sh.601688,华泰证券
sh.601696,中银证券
sh.601718,际华集团
sh.601778,晶科科技
sh.601816,京沪高铁
sh.601828,美凯龙
sh.601858,中国科传
sh.601868,中国能建
sh.601880,辽港股份
sh.601888,中国中免
sh.601908,京运通
sh.601929,吉视传媒
sh.601949,中国出版
sh.601992,金隅集团
sh.601995,中金公司
sh.603003,龙宇股份
sh.603021,山东华鹏
sh.603023,威帝股份
sh.603029,天鹅股份
sh.603031,安孚科技
sh.603032,德新科技
sh.603043,广州酒家
sh.603057,紫燕食品
sh.603060,国检集团
sh.603061,金海通
sh.603063,禾望电气
sh.603077,和邦生物
