'122746', u'10.21', u'152', 4406.0, 'AA+', 'AA', u'12\u65b9\u592702'
'122745', u'9.94', u'152', 2517.0, 'AA+', 'AA', u'12\u65b9\u592701'
'122535', u'9.85', u'328', 2058.0, 'AA', 'AA', u'12\u82cf\u98de\u8fbe'
'124133', u'9.39', u'247', 246.0, 'AA', 'AA', u'12\u5b81\u5b9d\u6e90'
'122776', u'8.94', u'243', 9910.0, 'AA', 'AA', u'11\u65b0\u5149\u503a'
'124182', u'8.86', u'141', 10.0, 'AA+', 'AA', u'13\u7cbe\u63a7\u503a'
'122683', u'8.85', u'91', 1484.0, 'AA', 'AA', u'12\u6625\u548c\u503a'
'122729', u'8.81', u'134', 528.0, 'AA', 'AA', u'12\u6c5f\u6cc9\u503a'
'122765', u'8.78', u'223', 204.0, 'AA', 'AA', u'11\u6cdb\u6d7702'
'122690', u'8.57', u'127', 1033.0, 'AA', 'AA', u'12\u4e09\u80de\u503a'
'122662', u'8.31', u'119', 372.0, 'AA+', 'AA', u'12\u5408\u6843\u82b1'
'122803', u'8.28', u'236', 952.0, 'AA', 'AA', u'11\u6ec1\u5dde\u503a'
'124418', u'8.17', u'268', 17.0, 'AA+', 'AA', u'13\u6c38\u5229\u503a'
'111050', u'8.07', u'157', 950.0, 'AA+', 'AA', u'09\u534e\u83f1\u503a'
'124112', u'8.06', u'195', 16404.0, 'AA', 'AA', u'13\u8c6b\u76db\u6da6'
'122651', u'8.03', u'90', 71.0, 'AA', 'AA', u'12\u5e7f\u5b89\u6295'
'124434', u'7.97', u'244', 500.0, 'AA', 'AA', u'13\u6e1d\u8c6a\u6c5f'
'122643', u'7.93', u'63', 818.0, 'AA', 'AA', u'12\u6d77\u8d44\u503a'
'122714', u'7.91', u'125', 1033.0, 'AA', 'AA', u'12\u6d77\u9675\u503a'
'122927', u'7.87', u'212', 1204.0, 'AA+', 'AA+', u'09\u6d77\u822a\u503a'
'122708', u'7.85', u'127', 124.0, 'AA', 'AA', u'12\u4f0a\u65d7\u503a'
'124175', u'7.81', u'190', 1.0, 'AA', 'AA', u'13\u6e58\u9ad8\u65b0'
'122781', u'7.77', u'231', 767.0, 'AA+', 'AA', u'11\u6c38\u5dde\u503a'
'122757', u'7.76', u'215', 2836.0, 'AA', 'AA', u'11\u4e39\u4e1c\u503a'
'122222', u'7.74', u'174', 66.0, 'AA+', 'AA', u'12\u6c38\u6cf002'
'124169', u'7.73', u'148', 513.0, 'AA', 'AA', u'13\u534e\u5cf0\u503a'
'122727', u'7.71', u'146', 10.0, 'AA', 'AA', u'12\u4e1c\u80dc\u503a'
'124493', u'7.69', u'182', 6000.0, 'AA+', 'AA', u'14\u4f0a\u5b81\u503a'
'122700', u'7.67', u'132', 100.0, 'AA+', 'AA', u'12\u6765\u5bbe\u503a'
'124206', u'7.67', u'148', 50.0, 'AA', 'AA', u'13\u7965\u6e90\u503a'
'122679', u'7.66', u'115', 6564.0, 'AA+', 'AA', u'12\u6cb3\u5957\u503a'
'122531', u'7.59', u'310', 12.0, 'AA+', 'AA', u'12\u592a\u79d1\u56ed'
'122890', u'7.54', u'335', 5905.0, 'AA+', 'AA', u'10\u51ef\u8fea\u503a'
'122938', u'7.53', u'275', 10.0, 'AA+', 'AA', u'09\u6c7e\u6e56\u503a'
'122504', u'7.52', u'303', 4943.0, 'AA', 'AA', u'12\u901a\u5929\u8bda'
'124056', u'7.52', u'246', 59.0, 'AA', 'AA', u'12\u542f\u56fd\u6295'
'122625', u'7.51', u'22', 4183.0, 'AA+', 'AA', u'12\u5347\u534e\u503a'
'122715', u'7.48', u'127', 54.0, 'AA+', 'AA', u'12\u84c9\u65b0\u57ce'
'124161', u'7.48', u'170', 340.0, 'AA+', 'AA+', u'13\u745e\u6c34\u6ce5'
'122841', u'7.44', u'199', 7.0, 'AA', 'AA', u'11\u6e1d\u6d25\u503a'
'124441', u'7.43', u'227', 1505.0, 'AA+', 'AA', u'13\u5e93\u8f6601'
'111060', u'7.43', u'137', 2000.0, 'AA+', 'AA', u'10\u4f73\u57ce\u6295'
'122730', u'7.39', u'151', 10129.0, 'AA', 'AA', u'12\u664b\u6c5f\u503a'
'111051', u'7.37', u'156', 50490.0, 'AA', 'AA', u'09\u6000\u5316\u503a'
'122818', u'7.35', u'142', 221.0, 'AA+', 'AA', u'11\u725f\u5e73\u503a'
'122695', u'7.33', u'131', 11.0, 'AA', 'AA', u'12\u4e94\u56fd\u6295'
'122794', u'7.30', u'259', 141.0, 'AA', 'AA', u'11\u6d77\u57ce\u503a'
'124352', u'7.30', u'310', 6951.0, 'AA', 'AA', u'13\u5e73\u51c9\u503a'
'124629', u'7.24', u'107', 32.0, 'AA+', 'AA', u'14\u82cf\u91d1\u704c'
'122652', u'7.23', u'62', 5000.0, 'AA', 'AA', u'12\u6768\u519c\u503a'
'124438', u'7.17', u'239', 11.0, 'AA+', 'AA', u'13\u51b6\u57ce\u6295'
'124422', u'7.16', u'260', 400.0, 'AA', 'AA', u'13\u5d07\u660e\u503a'
'112059', u'7.15', u'153', 291.0, 'AA', 'AA', u'11\u8054\u5316\u503a'
'122918', u'7.13', u'137', 6601.0, 'AA+', 'AA', u'10\u961c\u9633\u503a'
'124126', u'7.13', u'198', 1192.0, 'AA', 'AA', u'12\u67f3\u57ce\u6295'
'124071', u'7.11', u'224', 225.0, 'AA+', 'AA', u'12\u9e70\u6295\u878d'
'124116', u'7.11', u'211', 1900.0, 'AA', 'AA', u'12\u6e1d\u5317\u98de'
'124705', u'7.11', u'90', 15200.0, 'AA+', 'AA', u'13\u5e93\u8f6602'
'122752', u'7.10', u'251', 1.0, 'AA+', 'AA', u'11\u5927\u4e30\u6e2f'
'124524', u'7.10', u'153', 9024.0, 'AA+', 'AA', u'13\u9ed4\u629502'
'122893', u'7.09', u'321', 52.0, 'AA', 'AA', u'10\u4e39\u4e1c\u503a'
'122711', u'7.08', u'132', 14118.0, 'AA', 'AA', u'12\u90d1\u65b0\u503a'
'122798', u'7.07', u'32', 84.0, 'AA', 'AA', u'11\u6cf0\u77ff\u503a'
'124278', u'7.07', u'89', 14.0, 'AA', 'AA', u'13\u6e1d\u53cc\u6865'
'122707', u'7.02', u'119', 176.0, 'AA+', 'AA', u'12\u6cf0\u5174\u503a'
'122718', u'7.02', u'123', 504.0, 'AA+', 'AA', u'12\u6e1d\u5357\u503a'
'111059', u'7.02', u'233', 503060.0, 'AA+', 'AA', u'09\u5bbf\u5efa\u6295'
'122649', u'7.01', u'109', 5.0, 'AA+', 'AA', u'12\u957f\u5efa\u6295'
'122875', u'7.01', u'227', 28.0, 'AA', 'AA', u'10\u7ea2\u629502'
'124608', u'7.01', u'125', 2.0, 'AA+', 'AA', u'14\u53e5\u5bb9\u798f'
'122852', u'7.00', u'208', 30.0, 'AA', 'AA', u'10\u7389\u6eaa02'
'122549', u'6.99', u'302', 3776.0, 'AA+', 'AA', u'12\u90b3\u6da6\u57ce'
'111063', u'6.99', u'143', 10010.0, 'AA', 'AA', u'11\u5bcc\u9633\u503a'
'124313', u'6.97', u'34', 3.0, 'AA', 'AA', u'13\u82cf\u5bb6\u5c6f'
'122859', u'6.96', u'220', 300.0, 'AA+', 'AA+', u'10\u76d0\u57ce02'
'124055', u'6.96', u'246', 2.0, 'AA+', 'AA+', u'12\u84c9\u9ad8\u6295'
'122929', u'6.95', u'218', 6500.0, 'AA', 'AA', u'09\u4e5d\u6c5f\u503a'
'122828', u'6.89', u'146', 111.0, 'AA+', 'AA', u'11\u629a\u5dde\u503a'
'122658', u'6.86', u'68', 10000.0, 'AA', 'AA', u'12\u76d8\u9526\u503a'
'122835', u'6.86', u'145', 2.0, 'AA+', 'AA', u'11\u5174\u6cf8\u503a'
'122845', u'6.86', u'178', 23419.0, 'AA+', 'AA+', u'11\u6a2a\u5e97\u503a'
'124093', u'6.86', u'239', 7436.0, 'AA+', 'AA', u'12\u5580\u57ce\u6295'
'124276', u'6.82', u'89', 1.0, 'AA', 'AA', u'13\u6d25\u6ee8\u6295'
'122593', u'6.79', u'345', 3.0, 'AA+', 'AA', u'12\u8861\u57ce\u6295'
'122563', u'6.77', u'323', 240.0, 'AA+', 'AA', u'12\u6beb\u5dde\u503a'
'124609', u'6.76', u'122', 100.0, 'AAA', 'AA', u'14\u5e38\u5fb7\u6295'
'122648', u'6.75', u'126', 332.0, 'AA+', 'AA', u'12\u5ba3\u56fd\u6295'
'122697', u'6.75', u'205', 2186.0, 'AA', 'AA', u'11\u592a\u8d44\u503a'
'124229', u'6.70', u'128', 1100.0, 'AA', 'AA', u'13\u664b\u516c\u6295'
'122881', u'6.68', u'213', 500.0, 'AA', 'AA', u'10\u5434\u6c5f\u503a'
'122566', u'6.65', u'317', 12.0, 'AA+', 'AA', u'12\u5e93\u57ce\u5efa'
'111062', u'6.58', u'321', 74921.0, 'AA+', 'AA+', u'10\u5e76\u9ad8\u94c1'
'122916', u'6.55', u'137', 341.0, 'AA+', 'AA', u'10\u7ea2\u8c37\u6ee9'
'124758', u'6.54', u'70', 35000.0, 'AA+', 'AA', u'14\u5409\u5b89\u503a'
'112064', u'6.51', u'132', 1130.0, 'AA', 'AA', u'12\u9686\u5e73\u503a'
'122844', u'6.50', u'193', 3.0, 'AA', 'AA', u'11\u7b51\u57ce\u6295'
'124264', u'6.49', u'89', 2204.0, 'AA+', 'AA+', u'13\u664b\u57ce\u6295'
'122837', u'6.48', u'150', 1.0, 'AA+', 'AA+', u'11\u6b66\u7ecf\u53d1'
'122951', u'6.47', u'28', 12200.0, 'AA+', 'AA', u'09\u6dee\u57ce\u6295'
'122833', u'6.44', u'93', 201.0, 'AA', 'AA', u'11\u8d63\u57ce\u503a'
'122842', u'6.43', u'199', 3302.0, 'AA', 'AA', u'11\u5408\u57ce\u503a'
'124031', u'6.43', u'247', 1.0, 'AA+', 'AA+', u'12\u8c6b\u94c1\u6295'
'124565', u'6.42', u'141', 1.0, 'AA+', 'AA+', u'14\u5e86\u57ce\u6295'
'122611', u'6.41', u'7', 4790.0, 'AA', 'AA', u'12\u84c9\u7ecf01'
'124310', u'6.40', u'33', 9900.0, 'AA', 'AA', u'13\u6d2a\u6c34\u5229'
'122840', u'6.37', u'152', 1508.0, 'AA+', 'AA', u'11\u4e34\u6c7e\u503a'
'122921', u'6.36', u'184', 24.0, 'AA+', 'AA', u'10\u90f4\u5dde\u503a'
'122819', u'6.35', u'90', 5001.0, 'AA+', 'AA+', u'11\u5e38\u57ce\u5efa'
'124345', u'6.31', u'318', 6000.0, 'AA+', 'AA+', u'13\u4eac\u7164\u503a'
'124006', u'6.29', u'257', 20000.0, 'AA+', 'AA+', u'12\u7ecd\u57ce\u6295'
'122636', u'6.26', u'35', 17.0, 'AA', 'AA', u'12\u8fde\u53d1\u503a'
'122846', u'6.23', u'152', 2.0, 'AAA', 'AAA', u'11\u6e1d\u5bcc\u503a'
'122627', u'6.18', u'19', 10199.0, 'AA', 'AA', u'12\u4eac\u5efa\u5de5'
'122805', u'6.17', u'53', 2000.0, 'AA', 'AA', u'11\u5927\u540c\u503a'
'111041', u'6.14', u'337', 9010.0, 'AA+', 'AA', u'08\u94c1\u5cad\u503a'
'122961', u'6.13', u'60', 63649.0, 'AA+', 'AAA', u'09\u6b66\u57ce\u6295'
'124075', u'6.13', u'219', 4792.0, 'AA+', 'AA', u'12\u6dee\u5efa\u6295'
'122641', u'6.12', u'46', 77.0, 'AA+', 'AA', u'12\u6b66\u8fdb\u503a'
'122884', u'6.10', u'286', 600.0, 'AA+', 'AA', u'10\u897f\u5b50\u503a'
'122984', u'6.07', u'144', 5002.0, 'AA+', 'AA', u'09\u516d\u57ce\u6295'
'122944', u'6.05', u'330', 8.0, 'AA+', 'AA', u'09\u682a\u57ce\u6295'
'112065', u'6.02', u'132', 20.0, 'AA+', 'AA+', u'12\u67f3\u5de5\u503a'
'122942', u'6.01', u'312', 8093.0, 'AA+', 'AA+', u'09\u6c5f\u9634\u503a'
'122892', u'5.92', u'326', 227.0, 'AA', 'AA', u'10\u5bff\u5149\u503a'
'122957', u'5.88', u'50', 3.0, 'AA', 'AA', u'09\u84c9\u5de5\u6295'
'120301', u'5.86', u'155', 15.0, 'AAA', 'AAA', u'03\u6caa\u8f68\u9053'
'122958', u'5.86', u'63', 636.0, 'AA+', 'AA', u'09\u957f\u7ecf\u5f00'
'111023', u'5.80', u'333', 120.0, 'AAA', 'AAA', u'03\u4e2d\u94c1\u503a'
'120605', u'5.79', u'74', 79.0, 'AAA', 'AAA', u'06\u4e09\u5ce1\u503a'
'122975', u'5.71', u'120', 1259.0, 'AA+', 'AA+', u'09\u6d4e\u57ce\u5efa'
'120201', u'5.69', u'307', 5.0, 'AAA', 'AAA', u'02\u4e09\u5ce1\u503a'
'122972', u'5.59', u'107', 1000.0, 'AA+', 'AA+', u'09\u7ef5\u6295\u63a7'
'120486', u'5.57', u'305', 428.0, 'AAA', 'AAA', u'04\u56fd\u7535\u2475'
'122962', u'5.48', u'78', 37143.0, 'AA+', 'AA+', u'09\u5b81\u4ea4\u901a'
