'122829', 12.03, 334, 1736.0, 'AA-', 'AA-'
'122746', 10.21, 152, 4161.0, 'AA+', 'AA'
'122745', 9.94, 152, 2563.0, 'AA+', 'AA'
'122535', 9.85, 328, 712.0, 'AA', 'AA'
'122811', 9.65, 80, 1540.0, 'AA', 'AA-'
'124038', 9.62, 232, 1048.0, 'AA+', 'AA-'
'124105', 9.53, 216, 4338.0, 'AA', 'AA-'
'124092', 9.41, 219, 491.0, 'AA', 'AA-'
'124133', 9.39, 247, 105.0, 'AA', 'AA'
'122541', 9.16, 281, 1579.0, 'AA', 'AA-'
'122776', 8.94, 243, 5535.0, 'AA', 'AA'
'124182', 8.86, 141, 0.0, 'AA+', 'AA'
'122683', 8.85, 91, 1131.0, 'AA', 'AA'
'122729', 8.81, 134, 1085.0, 'AA', 'AA'
'122765', 8.78, 223, 0.0, 'AA', 'AA'
'122741', 8.74, 216, 480.0, 'AA', 'AA-'
'124572', 8.7, 94, 298.0, 'AA', 'AA-'
'124706', 8.7, 90, 568.0, 'AA', 'AA-'
'122754', 8.69, 223, 2218.0, 'AA+', 'AA-'
'124716', 8.63, 87, 862.0, 'AA', 'AA-'
'124766', 8.61, 62, 84.0, 'AA', 'AA-'
'122690', 8.57, 127, 0.0, 'AA', 'AA'
'124457', 8.53, 219, 14.0, 'AA', 'AA-'
'124562', 8.52, 141, 0.0, 'AA', 'AA-'
'124656', 8.51, 98, 261.0, 'AA', 'AA-'
'124459', 8.48, 216, 0.0, 'AA', 'AA-'
'124130', 8.45, 190, 7167.0, 'AA', 'AA-'
'122694', 8.36, 96, 1417.0, 'AA', 'AA-'
'124309', 8.36, 34, 4666.0, 'AA', 'AA-'
'124076', 8.34, 229, 300.0, 'AA', 'AA-'
'124079', 8.32, 226, 110.0, 'AA', 'AA-'
'122662', 8.31, 119, 4350.0, 'AA+', 'AA'
'124373', 8.29, 274, 0.0, 'AA', 'AA-'
'122803', 8.28, 236, 236.0, 'AA', 'AA'
'124018', 8.22, 267, 0.0, 'AA', 'AA-'
'122562', 8.21, 365, 6516.0, 'AA', 'AA-'
'124010', 8.19, 258, 2138.0, 'AA+', 'AA-'
'124418', 8.17, 268, 0.0, 'AA+', 'AA'
'122769', 8.15, 234, 0.0, 'AA', 'AA-'
'122539', 8.1, 287, 1693.0, 'AA', 'AA-'
'124486', 8.07, 184, 0.0, 'AA', 'AA-'
'111050', 8.07, 157, 2723.0, 'AA+', 'AA'
'122509', 8.06, 218, 0.0, 'AA', 'AA-'
