'122746', 9.81, 157, 6791.0, 'AA+', 'AA'
'122535', 9.64, 333, 1804.0, 'AA', 'AA'
'122745', 9.42, 157, 4658.0, 'AA+', 'AA'
'124133', 9.23, 252, 319.0, 'AA', 'AA'
'122776', 8.99, 248, 7147.0, 'AA', 'AA'
'124182', 8.97, 146, 0.0, 'AA+', 'AA'
'122764', 8.83, 228, 20.0, 'AA', 'AA'
'122765', 8.77, 228, 58.0, 'AA', 'AA'
'122729', 8.74, 139, 1257.0, 'AA', 'AA'
'122683', 8.71, 96, 2018.0, 'AA', 'AA'
'122803', 8.28, 241, 180.0, 'AA', 'AA'
'124296', 8.25, 59, 0.0, 'AA', 'AA'
'122662', 8.23, 124, 243.0, 'AA+', 'AA'
'124418', 8.17, 273, 1010.0, 'AA+', 'AA'
'122744', 8.09, 219, 0.0, 'AA', 'AA'
'124112', 8.06, 200, 1456.0, 'AA', 'AA'
'124517', 7.97, 158, 0.0, 'AA', 'AA'
'122719', 7.93, 132, 0.0, 'AA', 'AA'
'122643', 7.87, 68, 332.0, 'AA', 'AA'
'122927', 7.86, 217, 130.0, 'AA+', 'AA+'
'122714', 7.83, 130, 177.0, 'AA', 'AA'
'124417', 7.83, 267, 0.0, 'AA', 'AA'
'122708', 7.82, 132, 528.0, 'AA', 'AA'
'122779', 7.8, 261, 0.0, 'AA', 'AA'
'122928', 7.79, 219, 2031.0, 'AA+', 'AA'
'111050', 7.79, 162, 1120.0, 'AA+', 'AA'
'124169', 7.78, 153, 2020.0, 'AA', 'AA'
'122781', 7.77, 236, 5114.0, 'AA+', 'AA'
'124792', 7.76, 62, 0.0, 'AA', 'AA'
'124999', 7.74, 273, 100.0, 'AAA', 'AAA'
'122651', 7.72, 95, 0.0, 'AA', 'AA'
'124206', 7.67, 153, 209.0, 'AA', 'AA'
'124216', 7.67, 228, 584.0, 'AA', 'AA'
'124742', 7.67, 82, 0.0, 'AA', 'AA'
'122582', 7.66, 334, 1.0, 'AA', 'AA'
'124056', 7.64, 251, 2964.0, 'AA', 'AA'
'124404', 7.64, 273, 0.0, 'AA', 'AA'
'122679', 7.62, 120, 834.0, 'AA+', 'AA'
'122757', 7.61, 220, 27690.0, 'AA', 'AA'
'122700', 7.6, 137, 6484.0, 'AA+', 'AA'
'122850', 7.54, 149, 2000.0, 'AA+', 'AA'
'122504', 7.5, 308, 173.0, 'AA', 'AA'
'122625', 7.48, 27, 0.0, 'AA+', 'AA'
'122890', 7.45, 340, 3493.0, 'AA+', 'AA'
'122920', 7.42, 170, 3478.0, 'AA+', 'AA'
'122222', 7.41, 179, 212.0, 'AA+', 'AA'
'122715', 7.41, 132, 3100.0, 'AA+', 'AA'
'111060', 7.41, 142, 50600.0, 'AA+', 'AA'
'124161', 7.39, 175, 20.0, 'AA+', 'AA+'
'124746', 7.38, 74, 0.0, 'AA', 'AA'
'124427', 7.37, 258, 0.0, 'AA+', 'AA'
'122775', 7.36, 232, 800.0, 'AA', 'AA'
'122818', 7.36, 147, 3494.0, 'AA+', 'AA'
'122780', 7.33, 249, 0.0, 'AA+', 'AA'
'122794', 7.3, 264, 0.0, 'AA', 'AA'
'122940', 7.3, 302, 12713.0, 'AA+', 'AA'
'111051', 7.3, 161, 240660.0, 'AA', 'AA'
'124043', 7.27, 238, 40216.0, 'AA', 'AA'
'122841', 7.26, 204, 123.0, 'AA', 'AA'
'124193', 7.25, 145, 19.0, 'AA', 'AA'
'124026', 7.23, 245, 10.0, 'AA+', 'AA'
'124524', 7.21, 158, 1667.0, 'AA+', 'AA'
'124308', 7.2, 40, 154.0, 'AA', 'AA'
'124629', 7.19, 112, 1029.0, 'AA+', 'AA'
'124313', 7.18, 39, 143000.0, 'AA', 'AA'
'122530', 7.17, 284, 0.0, 'AA', 'AA'
'122652', 7.17, 67, 3000.0, 'AA', 'AA'
'122755', 7.17, 135, 0.0, 'AA', 'AA'
'124590', 7.17, 132, 0.0, 'AA+', 'AA+'
'122798', 7.13, 37, 382.0, 'AA', 'AA'
'124438', 7.13, 244, 1017.0, 'AA+', 'AA'
'124374', 7.12, 286, 9542.0, 'AA', 'AA'
'124071', 7.1, 229, 3317.0, 'AA+', 'AA'
'122931', 7.09, 265, 160.0, 'AA+', 'AA'
'124000', 7.08, 308, 14711.0, 'AA', 'AA'
'122649', 7.02, 114, 5458.0, 'AA+', 'AA'
'122507', 7.01, 290, 3020.0, 'AA+', 'AA'
'122661', 7.01, 129, 31.0, 'AA', 'AA'
'122857', 7.01, 225, 10.0, 'AA', 'AA'
'122718', 6.99, 128, 1898.0, 'AA+', 'AA'
'111063', 6.99, 148, 166391.0, 'AA', 'AA'
'122549', 6.95, 307, 6729.0, 'AA+', 'AA'
'124055', 6.91, 251, 1620.0, 'AA+', 'AA+'
'122828', 6.89, 151, 367.0, 'AA+', 'AA'
'124080', 6.86, 264, 5000.0, 'AA+', 'AA'
'124098', 6.86, 216, 0.0, 'AA+', 'AA'
'122707', 6.84, 124, 1443.0, 'AA+', 'AA'
'122845', 6.84, 183, 46000.0, 'AA+', 'AA+'
'122585', 6.83, 336, 0.0, 'AA', 'AA'
'124093', 6.83, 244, 11.0, 'AA+', 'AA'
'122672', 6.82, 93, 0.0, 'AA', 'AA'
'122589', 6.81, 343, 8523.0, 'AA+', 'AA'
'122855', 6.81, 198, 0.0, 'AA', 'AA'
'124230', 6.79, 244, 0.0, 'AA', 'AA'
'124398', 6.78, 286, 0.0, 'AA', 'AA'
'122743', 6.77, 163, 500.0, 'AA+', 'AA+'
'122648', 6.74, 131, 1000.0, 'AA+', 'AA'
'122965', 6.74, 105, 0.0, 'AA', 'AA'
'122599', 6.72, 361, 7.0, 'AA+', 'AA'
'122863', 6.72, 213, 1415.0, 'AA', 'AA'
'124103', 6.72, 201, 1435.0, 'AA+', 'AA'
'124107', 6.72, 210, 3.0, 'AA', 'AA'
'122566', 6.71, 322, 676.0, 'AA+', 'AA'
'124263', 6.71, 109, 0.0, 'AA+', 'AA'
'124393', 6.7, 284, 93.0, 'AA', 'AA'
'122563', 6.69, 328, 18.0, 'AA+', 'AA'
'122881', 6.68, 218, 0.0, 'AA', 'AA'
'122836', 6.66, 150, 0.0, 'AA', 'AA'
'122593', 6.65, 350, 0.0, 'AA+', 'AA'
'122859', 6.65, 225, 0.0, 'AA+', 'AA+'
'124422', 6.62, 265, 1800.0, 'AA', 'AA'
'122838', 6.61, 38, 2000.0, 'AA+', 'AA+'
'122916', 6.6, 142, 1712.0, 'AA+', 'AA'
'122804', 6.59, 51, 0.0, 'AA', 'AA'
'124435', 6.59, 246, 0.0, 'AA+', 'AA+'
'124563', 6.59, 147, 0.0, 'AAA', 'AA'
'124096', 6.56, 215, 2.0, 'AA', 'AA'
'122680', 6.55, 107, 28177.0, 'AA+', 'AA+'
'124811', 6.55, 42, 0.0, 'AA+', 'AA'
'111062', 6.54, 326, 720.0, 'AA+', 'AA+'
'122939', 6.53, 274, 0.0, 'AA+', 'AA'
'122768', 6.51, 226, 0.0, 'AA+', 'AA'
'122831', 6.51, 137, 0.0, 'AA+', 'AA'
'122709', 6.5, 125, 0.0, 'AA+', 'AA+'
'122922', 6.5, 185, 11500.0, 'AA+', 'AA'
'124167', 6.49, 178, 0.0, 'AA', 'AA'
'124171', 6.49, 153, 9830.0, 'AA', 'AA'
'124159', 6.48, 186, 2.0, 'AA+', 'AA'
'122607', 6.46, 95, 8089.0, 'AAA', 'AAA'
'122701', 6.46, 122, 0.0, 'AA+', 'AA+'
'124138', 6.46, 96, 0.0, 'AA+', 'AA+'
'122925', 6.45, 244, 219.0, 'AA+', 'AA'
'122956', 6.44, 55, 0.0, 'AA+', 'AA+'
'124059', 6.44, 229, 0.0, 'AA+', 'AA+'
'111052', 6.44, 139, 210.0, 'AA', 'AA'
'122840', 6.43, 157, 17351.0, 'AA+', 'AA'
'122930', 6.43, 225, 2.0, 'AA+', 'AA'
'124240', 6.43, 131, 20000.0, 'AA', 'AA'
'122911', 6.42, 84, 0.0, 'AA+', 'AA+'
'124430', 6.41, 141, 0.0, 'AAA', 'AA+'
'122825', 6.4, 128, 10186.0, 'AA+', 'AA'
'122854', 6.4, 128, 8246.0, 'AA', 'AA'
'124610', 6.4, 145, 0.0, 'AA+', 'AA+'
'122897', 6.39, 71, 0.0, 'AA', 'AA'
'122921', 6.39, 189, 41393.0, 'AA+', 'AA'
'122991', 6.38, 216, 1166.0, 'AA+', 'AA+'
'122564', 6.37, 319, 0.0, 'AA', 'AA'
'124148', 6.36, 182, 1000.0, 'AA+', 'AA'
'122819', 6.35, 95, 3527.0, 'AA+', 'AA+'
'122670', 6.3, 82, 500.0, 'AA+', 'AA+'
'122892', 6.28, 331, 203.0, 'AA', 'AA'
'122964', 6.28, 85, 379.0, 'AA+', 'AA+'
'124318', 6.28, 17, 0.0, 'AA', 'AA'
'124363', 6.28, 308, 0.0, 'AA+', 'AA+'
'120602', 6.27, 123, 0.0, 'AAA', 'AAA'
'122984', 6.27, 149, 9385.0, 'AA+', 'AA'
'122846', 6.23, 157, 56.0, 'AAA', 'AAA'
'122842', 6.22, 204, 0.0, 'AA', 'AA'
'112065', 6.22, 137, 30.0, 'AA+', 'AA+'
'122932', 6.17, 246, 570.0, 'AA+', 'AA'
'122805', 6.16, 58, 8848.0, 'AA', 'AA'
'122802', 6.14, 46, 0.0, 'AA+', 'AA'
'122865', 6.14, 304, 3953.0, 'AA+', 'AA'
'122961', 6.13, 65, 1500.0, 'AA+', 'AAA'
'122641', 6.12, 51, 0.0, 'AA+', 'AA'
'122902', 6.08, 72, 12000.0, 'AA+', 'AA'
'122686', 6.01, 121, 0.0, 'AA+', 'AA+'
'122942', 6.0, 317, 626.0, 'AA+', 'AA+'
'124367', 5.95, 291, 0.0, 'AAA', 'AAA'
'122944', 5.94, 335, 92.0, 'AA+', 'AA'
'124220', 5.92, 143, 0.0, 'AA+', 'AA+'
'124281', 5.91, 75, 0.0, 'AA+', 'AA+'
'111041', 5.83, 342, 55536.0, 'AA+', 'AA'
'122958', 5.82, 68, 0.0, 'AA+', 'AA'
'124075', 5.76, 224, 1.0, 'AA+', 'AA'
'120605', 5.75, 79, 2664.0, 'AAA', 'AAA'
'120301', 5.74, 160, 0.0, 'AAA', 'AAA'
'120201', 5.7, 312, 169.0, 'AAA', 'AAA'
'122995', 5.7, 335, 0.0, 'AAA', 'AA+'
'122966', 5.69, 93, 4.0, 'AA', 'AA'
'120204', 5.66, 229, 5622.0, 'AAA', 'AAA'
'122962', 5.59, 83, 0.0, 'AA+', 'AA+'
'122996', 5.53, 308, 3627.0, 'AA+', 'AA+'
'120490', 5.49, 315, 1549.0, 'AAA', 'AAA'
'120306', 5.48, 233, 428.0, 'AAA', 'AAA'
'120303', 5.47, 362, 0.0, 'AAA', 'AAA'
'120601', 5.47, 163, 25.0, 'AAA', 'AAA'
'122579', 5.47, 36, 700.0, 'AA', 'AA'
'122550', 5.44, 51, 1.0, 'AAA', 'AAA'
'122737', 5.44, 157, 0.0, 'AAA', 'AAA'
'122988', 5.42, 195, 5001.0, 'AA', 'AA'
'111045', 5.41, 225, 0.0, 'AA+', 'AA'
'111019', 5.34, 260, 30.0, 'AAA', 'AAA'
'120102', 5.24, 263, 7941.0, 'AAA', 'AAA'
'120203', 5.2, 274, 117.0, 'AAA', 'AAA'
'122660', 5.12, 108, 0.0, 'AAA', 'AAA'
'120511', 5.02, 2, 0.0, 'AAA', 'AAA'
