'122746', 9.63, 160, 96.49, 2810.0, 'AA+', 'AA'
'122535', 9.54, 336, 95.9, 1795.0, 'AA', 'AA'
'122745', 9.36, 160, 97.71, 8927.0, 'AA+', 'AA'
'124133', 9.13, 255, 93.4, 546.0, 'AA', 'AA'
'122776', 9.02, 251, 98.98, 2803.0, 'AA', 'AA'
'124182', 8.92, 149, 92.75, 6.0, 'AA+', 'AA'
'122765', 8.76, 231, 103.85, 12.0, 'AA', 'AA'
'122683', 8.71, 99, 99.46, 284.0, 'AA', 'AA'
'122729', 8.68, 142, 100.29, 427.0, 'AA', 'AA'
'122764', 8.65, 231, 102.79, 117.0, 'AA', 'AA'
'122803', 8.28, 244, 103.85, 540.0, 'AA', 'AA'
'122662', 8.18, 127, 102.2, 110.0, 'AA+', 'AA'
'124418', 8.18, 276, 99.25, 4488.0, 'AA+', 'AA'
'122927', 7.86, 220, 100.96, 50.0, 'AA+', 'AA+'
'122643', 7.82, 71, 102.6, 676.0, 'AA', 'AA'
'122779', 7.77, 264, 106.5, 5040.0, 'AA', 'AA'
'122928', 7.74, 222, 101.3, 2146.0, 'AA+', 'AA'
'124999', 7.74, 276, 109.0, 3.0, 'AAA', 'AAA'
'122727', 7.71, 154, 102.0, 7.0, 'AA', 'AA'
'122714', 7.68, 133, 103.1, 1546.0, 'AA', 'AA'
'124380', 7.68, 290, 99.06, 2271.0, 'AA', 'AA'
'122781', 7.66, 239, 107.31, 313.0, 'AA+', 'AA'
'122582', 7.63, 337, 99.15, 3209.0, 'AA', 'AA'
'124216', 7.63, 231, 99.49, 1393.0, 'AA', 'AA'
'122841', 7.54, 207, 98.18, 2200.0, 'AA', 'AA'
'124600', 7.54, 135, 103.68, 50000.0, 'AA', 'AA'
'122757', 7.53, 223, 104.07, 6153.0, 'AA', 'AA'
'124056', 7.53, 254, 98.55, 65.0, 'AA', 'AA'
'122679', 7.52, 123, 105.72, 5085.0, 'AA+', 'AA'
'124206', 7.51, 156, 96.98, 237.0, 'AA', 'AA'
'122504', 7.5, 311, 101.0, 431.0, 'AA', 'AA'
'111050', 7.49, 165, 95.1, 60.0, 'AA+', 'AA'
'124479', 7.47, 199, 105.8, 3.0, 'AA+', 'AA'
'122890', 7.44, 343, 93.7, 5094.0, 'AA+', 'AA'
'124183', 7.38, 160, 97.4, 599.0, 'AA', 'AA'
'122588', 7.35, 342, 100.0, 30.0, 'AA', 'AA'
'122715', 7.33, 135, 103.8, 241.0, 'AA+', 'AA'
'122681', 7.3, 113, 103.0, 30.0, 'AA', 'AA'
'122695', 7.3, 139, 103.93, 20688.0, 'AA', 'AA'
'124377', 7.29, 289, 100.0, 8.0, 'AA+', 'AA'
'124394', 7.29, 282, 100.0, 2.0, 'AA', 'AA'
'124161', 7.28, 178, 99.0, 12.0, 'AA+', 'AA'
'122817', 7.27, 98, 101.25, 24000.0, 'AA', 'AA'
'122818', 7.27, 150, 105.2, 490.0, 'AA+', 'AA'
'124193', 7.25, 148, 96.03, 1.0, 'AA', 'AA'
'122849', 7.23, 202, 99.4, 490.0, 'AA', 'AA'
'111051', 7.23, 164, 105.99, 28085.0, 'AA', 'AA'
'124465', 7.22, 219, 106.8, 511.0, 'AA+', 'AA'
'124308', 7.21, 43, 96.91, 212.0, 'AA', 'AA'
'122940', 7.2, 305, 105.65, 14277.0, 'AA+', 'AA'
'122222', 7.19, 182, 97.95, 1711.0, 'AA+', 'AA'
'122755', 7.19, 138, 103.0, 9500.0, 'AA', 'AA'
'124524', 7.19, 161, 103.0, 5606.0, 'AA+', 'AA'
'124632', 7.17, 114, 103.2, 100.0, 'AA+', 'AA'
'122780', 7.16, 252, 102.9, 24000.0, 'AA+', 'AA'
'122798', 7.13, 40, 100.3, 281.0, 'AA', 'AA'
'124629', 7.12, 115, 103.98, 1470.0, 'AA+', 'AA'
'124431', 7.11, 255, 102.35, 7009.0, 'AA', 'AA'
'111060', 7.11, 145, 101.7, 26260.0, 'AA+', 'AA'
'122685', 7.08, 103, 102.75, 4438.0, 'AA', 'AA'
'122931', 7.07, 268, 101.77, 277.0, 'AA+', 'AA'
'124071', 7.06, 232, 102.6, 1345.0, 'AA+', 'AA'
'122875', 7.04, 235, 101.3, 282.0, 'AA', 'AA'
'124366', 7.04, 294, 100.05, 98.0, 'AA+', 'AA'
'111057', 7.04, 312, 101.28, 10.0, 'AA+', 'AA'
'124438', 7.01, 247, 104.58, 192.0, 'AA+', 'AA'
'124608', 7.01, 133, 103.5, 5232.0, 'AA+', 'AA'
'124374', 7.0, 289, 102.0, 1.0, 'AA', 'AA'
'122649', 6.97, 117, 105.27, 453.0, 'AA+', 'AA'
'122941', 6.96, 227, 101.0, 1000.0, 'AA+', 'AA'
'122703', 6.95, 149, 104.89, 500.0, 'AA+', 'AA+'
'122920', 6.93, 173, 102.0, 300.0, 'AA+', 'AA'
'122549', 6.9, 310, 102.7, 1030.0, 'AA+', 'AA'
'122575', 6.9, 352, 100.65, 20.0, 'AA', 'AA'
'122718', 6.89, 131, 107.27, 2.0, 'AA+', 'AA'
'124388', 6.88, 287, 102.0, 3800.0, 'AA', 'AA'
'122596', 6.86, 345, 101.2, 4000.0, 'AA', 'AA'
'124098', 6.86, 219, 100.51, 92.0, 'AA+', 'AA'
'124313', 6.86, 42, 97.8, 17.0, 'AA', 'AA'
'122874', 6.85, 235, 101.28, 70.0, 'AA', 'AA'
'122585', 6.83, 339, 100.8, 5000.0, 'AA', 'AA'
'122828', 6.83, 154, 104.4, 125.0, 'AA+', 'AA'
'122672', 6.82, 96, 103.4, 5.0, 'AA', 'AA'
'122707', 6.8, 127, 104.59, 1.0, 'AA+', 'AA'
'122847', 6.8, 172, 101.1, 10.0, 'AA+', 'AA+'
'124093', 6.8, 247, 101.6, 464.0, 'AA+', 'AA'
