'122535', 9.62, 341, 95.69, 1058.0, 'AA', 'AA'
'122746', 9.59, 165, 96.64, 2467.0, 'AA+', 'AA'
'122745', 9.46, 165, 97.42, 787.0, 'AA+', 'AA'
'124133', 9.12, 260, 93.43, 441.0, 'AA', 'AA'
'124182', 9.05, 154, 92.4, 58.0, 'AA+', 'AA'
'122776', 9.03, 256, 98.96, 866.0, 'AA', 'AA'
'122765', 8.82, 236, 103.53, 16.0, 'AA', 'AA'
'122683', 8.76, 104, 99.32, 686.0, 'AA', 'AA'
'122764', 8.73, 236, 102.55, 256.0, 'AA', 'AA'
'122729', 8.64, 147, 100.42, 183.0, 'AA', 'AA'
'120511', 8.26, 10, 97.0, 50.0, 'AAA', 'AAA'
'124296', 8.2, 67, 93.2, 35.0, 'AA', 'AA'
'122662', 8.17, 132, 102.2, 251.0, 'AA+', 'AA'
'124620', 7.98, 138, 100.0, 1.0, 'AA', 'AA'
'124112', 7.95, 208, 100.2, 555.0, 'AA', 'AA'
'122719', 7.91, 140, 104.5, 1000.0, 'AA', 'AA'
'122927', 7.89, 225, 100.82, 1162.0, 'AA+', 'AA+'
'122643', 7.86, 76, 102.43, 120.0, 'AA', 'AA'
'122917', 7.86, 197, 100.5, 80.0, 'AA', 'AA'
'122524', 7.83, 291, 98.5, 13234.0, 'AA+', 'AA'
'122708', 7.79, 140, 102.0, 983.0, 'AA', 'AA'
'122928', 7.79, 227, 101.1, 1231.0, 'AA+', 'AA'
'124216', 7.74, 236, 99.03, 554.0, 'AA', 'AA'
'122781', 7.7, 244, 107.11, 1953.0, 'AA+', 'AA'
'122841', 7.65, 212, 97.88, 73.0, 'AA', 'AA'
'122651', 7.64, 103, 102.0, 220.0, 'AA', 'AA'
'122582', 7.62, 342, 99.19, 11165.0, 'AA', 'AA'
'124169', 7.62, 161, 96.51, 3477.0, 'AA', 'AA'
'122700', 7.54, 145, 102.99, 2.0, 'AA+', 'AA'
'124056', 7.54, 259, 98.49, 20.0, 'AA', 'AA'
'122757', 7.51, 228, 104.15, 2239.0, 'AA', 'AA'
'122504', 7.5, 316, 101.0, 400.0, 'AA', 'AA'
'122679', 7.47, 128, 105.97, 12932.0, 'AA+', 'AA'
'122725', 7.44, 151, 101.0, 2048.0, 'AA', 'AA'
'122890', 7.43, 348, 93.78, 5830.0, 'AA+', 'AA'
'122871', 7.39, 292, 99.89, 3783.0, 'AA', 'AA'
'124391', 7.38, 292, 100.74, 3.0, 'AA', 'AA'
'124404', 7.38, 281, 101.5, 30000.0, 'AA', 'AA'
'122222', 7.37, 187, 97.45, 157.0, 'AA+', 'AA'
'122920', 7.37, 178, 101.0, 200.0, 'AA+', 'AA'
'124161', 7.32, 183, 98.81, 4498.0, 'AA+', 'AA'
'122794', 7.3, 272, 103.8, 505.0, 'AA', 'AA'
'124352', 7.3, 323, 99.0, 9987.0, 'AA', 'AA'
'122715', 7.27, 140, 104.01, 1435.0, 'AA+', 'AA'
'122818', 7.27, 155, 105.2, 1363.0, 'AA+', 'AA'
'122695', 7.25, 144, 104.05, 3088.0, 'AA', 'AA'
'111051', 7.23, 169, 105.98, 19856.0, 'AA', 'AA'
