id,open,high,low,close,volume,interests,roi,day,rate,warrant
'124182', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.0425', 8.96, 227, 'AA+', 'AA'
'122535', 98.95, 99.01, 98.95, 99.0, 409.0, u'1.0203', 8.64, 49, 'AA', 'AA'
'122776', 101.68, 101.7, 101.5, 101.6, 7019.0, u'7.3011', 8.36, 329, 'AA', 'AA'
'122729', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.0630', 7.84, 220, 'AA', 'AA'
'122765', 0.0, 0.0, 0.0, 0.0, 0.0, u'7.5345', 7.84, 309, 'AA', 'AA'
'122746', 103.36, 103.36, 103.02, 103.15, 185.0, u'5.4055', 7.79, 238, 'AA+', 'AA'
'122745', 101.88, 102.66, 101.88, 102.66, 1008.0, u'5.2751', 7.69, 238, 'AA+', 'AA'
'124635', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.9347', 7.66, 187, 'AA', 'AA'
'124112', 101.5, 101.6, 101.5, 101.6, 37.0, u'5.6893', 7.63, 281, 'AA', 'AA'
'124133', 99.05, 99.83, 99.05, 99.83, 54.0, u'6.5688', 7.58, 333, 'AA', 'AA'
'122662', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.9368', 7.54, 205, 'AA+', 'AA'
'122779', 0.0, 0.0, 0.0, 0.0, 0.0, u'7.8332', 7.51, 342, 'AA', 'AA'
'122719', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.7560', 7.48, 213, 'AA', 'AA'
'122744', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.8877', 7.44, 300, 'AA', 'AA'
'122927', 102.67, 102.68, 102.66, 102.68, 155.0, u'6.2049', 7.42, 298, 'AA+', 'AA+'
'124646', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.1562', 7.38, 185, 'AA', 'AA'
'124894', 103.2, 103.8, 103.2, 103.8, 43.0, u'1.5562', 7.35, 71, 'AA', 'AA'
'122643', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.4739', 7.31, 149, 'AA', 'AA'
'124287', 94.6, 94.6, 94.6, 94.6, 30.0, u'2.4734', 7.29, 148, 'AA', 'AA'
'124691', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.2566', 7.28, 183, 'AA', 'AA'
'122693', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.7466', 7.27, 210, 'AA', 'AA'
'122708', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.8727', 7.24, 213, 'AA', 'AA'
'112059', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.7800', 7.24, 239, 'AA', 'AA'
'122664', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.3605', 7.22, 231, 'AA', 'AA'
'124999', 110.48, 111.3, 110.48, 111.3, 121.0, u'8.2438', 7.2, 354, 'AAA', 'AAA'
'124429', 0.0, 0.0, 0.0, 0.0, 0.0, u'7.3401', 7.19, 337, 'AA', 'AA'
'122714', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.9253', 7.17, 211, 'AA', 'AA'
'122764', 105.0, 107.47, 105.0, 107.47, 53.0, u'7.4499', 7.17, 309, 'AA', 'AA'
'122758', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.5605', 7.16, 307, 'AA+', 'AA'
'124437', 0.0, 0.0, 0.0, 0.0, 0.0, u'7.0559', 7.16, 326, 'AA', 'AA'
'122871', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.5800', 7.14, 365, 'AA', 'AA'
'124175', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.2175', 7.12, 276, 'AA', 'AA'
'124866', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.2192', 7.12, 100, 'AA', 'AA'
'122781', 0.0, 0.0, 0.0, 0.0, 0.0, u'7.2953', 7.11, 317, 'AA+', 'AA'
'124216', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.0953', 7.1, 309, 'AA', 'AA'
'122757', 105.82, 105.82, 105.82, 105.82, 2617.0, u'6.3499', 7.06, 301, 'AA', 'AA'
'124056', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.6400', 7.05, 332, 'AA', 'AA'
'122938', 102.5, 102.5, 102.5, 102.5, 20.0, u'6.9233', 7.04, 361, 'AA+', 'AA'
'122934', 0.0, 0.0, 0.0, 0.0, 0.0, u'8.4534', 7.03, 363, 'AA+', 'AA'
'122727', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.3392', 7.01, 232, 'AA', 'AA'
'122928', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.8767', 7.01, 300, 'AA+', 'AA'
'124446', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.7685', 6.99, 305, 'AA+', 'AA'
'124380', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.0616', 6.98, 3, 'AA', 'AA'
'122285', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.6233', 6.96, 225, 'AA', 'AA'
'124448', 0.0, 0.0, 0.0, 0.0, 0.0, u'7.0721', 6.95, 311, 'AA', 'AA'
'122679', 108.71, 108.71, 108.71, 108.71, 2.0, u'4.7028', 6.93, 201, 'AA+', 'AA'
'124206', 100.5, 100.5, 100.5, 100.5, 580.0, u'4.3915', 6.93, 234, 'AA', 'AA'
'124715', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.9058', 6.91, 176, 'AA', 'AA'
