code,code_name,peTTM
sh.601919,中远海控,1.39
sh.600546,山煤国际,3.44
sz.002030,达安基因,3.67
sh.601668,中国建筑,4.01
sh.601186,中国铁建,4.13
sz.000937,冀中能源,4.22
sh.601390,中国中铁,4.62
sz.000932,华菱钢铁,4.67
sh.601155,新城控股,4.83
sh.600383,金地集团,4.86
sh.600141,兴发集团,5.01
sh.600064,南京高科,5.05
sz.000983,山西焦煤,5.21
sh.601699,潞安环能,5.24
sh.600985,淮北矿业,5.25
sh.601225,陕西煤业,5.29
sh.600782,新钢股份,5.29
sh.600188,兖矿能源,5.33
sh.600177,雅戈尔,5.35
sh.601898,中煤能源,5.53
sh.600755,厦门国贸,5.59
sh.600348,华阳股份,5.69
sz.000830,鲁西化工,5.81
sh.601156,东航物流,5.84
sh.600008,首创环保,5.88
sh.600089,特变电工,5.95
sh.600256,广汇能源,6.0
sh.600572,康恩贝,6.07
sh.603077,和邦生物,6.09
sh.600704,物产中大,6.18
sz.002128,电投能源,6.2
sh.688289,圣湘生物,6.34
sh.600325,华发股份,6.47
sh.600585,海螺水泥,6.47
sh.600153,建发股份,6.53
sh.600096,云天化,6.58
sh.601857,中国石油,6.71
sh.601598,中国外运,6.75
sh.600018,上港集团,6.87
sz.300244,迪安诊断,6.91
sh.600820,隧道股份,6.92
sz.300390,天华超净,6.94
sh.601800,中国交建,7.02
sz.002497,雅化集团,7.28
sh.600901,江苏租赁,7.42
sz.000651,格力电器,7.45
sh.601618,中国中冶,7.46
sh.600438,通威股份,7.47
sh.600499,科达制造,7.51
sh.601006,大秦铁路,7.73
sz.002240,盛新锂能,7.73
sh.600028,中国石化,7.82
sh.600176,中国巨石,7.84
sh.601866,中远海发,7.88
sz.002466,天齐锂业,7.92
sh.600282,南钢股份,7.93
sh.600801,华新水泥,7.98
sh.601928,凤凰传媒,8.11
sh.601088,中国神华,8.16
sz.000402,金融街,8.17
sh.600741,华域汽车,8.24
sh.600373,中文传媒,8.3
sz.002460,赣锋锂业,8.36
sh.600039,四川路桥,8.37
sh.601168,西部矿业,8.37
sz.002064,华峰化学,8.42
sh.600507,方大特钢,8.42
sz.002244,滨江集团,8.44
sz.000401,冀东水泥,8.44
